Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_50mV 80Hz_µA_1.csv: 0.21385044641530682,50.0,80.0,1,0.21385044641530682,0ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_2.csv: 0.10920123485244537,50.0,80.0,2,0.10920123485244537,0ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_3.csv: 0.09819716360487468,50.0,80.0,3,0.09819716360487468,0ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_5.csv: 0.027045901766896918,50.0,80.0,5,0.027045901766896918,100ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_6.csv: 0.1472259431435669,50.0,80.0,6,0.1472259431435669,100ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_7.csv: -0.018634932893294376,50.0,80.0,7,-0.018634932893294376,100ng/mL
Lowest trough value in cleaned_50mV 80Hz_µA_8.csv: 0.03680588101372845,50.0,80.0,8,0.03680588101372845,100ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_1.csv: 0.21648493126729884,50.0,100.0,1,0.21648493126729884,0ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_2.csv: 0.1192364340325599,50.0,100.0,2,0.1192364340325599,0ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_3.csv: 0.10933070916152116,50.0,100.0,3,0.10933070916152116,0ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_5.csv: 0.03126141731769133,50.0,100.0,5,0.03126141731769133,100ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_6.csv: 0.14932231217381187,50.0,100.0,6,0.14932231217381187,100ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_7.csv: -0.0303362059853875,50.0,100.0,7,-0.0303362059853875,100ng/mL
Lowest trough value in cleaned_50mV 100Hz_µA_8.csv: 0.032992685287150825,50.0,100.0,8,0.032992685287150825,100ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_1.csv: 0.25885397064947335,50.0,150.0,1,0.25885397064947335,0ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_2.csv: 0.14041701524603867,50.0,150.0,2,0.14041701524603867,0ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_3.csv: 0.14121464706079312,50.0,150.0,3,0.14121464706079312,0ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_4.csv: 0.2182212776091308,50.0,150.0,4,0.2182212776091308,0ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_5.csv: 0.04171915866557724,50.0,150.0,5,0.04171915866557724,100ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_6.csv: 0.16046287447643137,50.0,150.0,6,0.16046287447643137,100ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_7.csv: -0.025696597513127695,50.0,150.0,7,-0.025696597513127695,100ng/mL
Lowest trough value in cleaned_50mV 150Hz_µA_8.csv: 0.019479080774363833,50.0,150.0,8,0.019479080774363833,100ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_1.csv: 0.2787812267033183,50.0,200.0,1,0.2787812267033183,0ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_2.csv: 0.1841875858860038,50.0,200.0,2,0.1841875858860038,0ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_3.csv: 0.18167389035824877,50.0,200.0,3,0.18167389035824877,0ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_4.csv: 0.3283302510114774,50.0,200.0,4,0.3283302510114774,0ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_5.csv: 0.05705956361343911,50.0,200.0,5,0.05705956361343911,100ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_6.csv: 0.15738582073910545,50.0,200.0,6,0.15738582073910545,100ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_7.csv: -0.03803422969280068,50.0,200.0,7,-0.03803422969280068,100ng/mL
Lowest trough value in cleaned_50mV 200Hz_µA_8.csv: 0.01726730926781872,50.0,200.0,8,0.01726730926781872,100ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_1.csv: 0.40259050542272545,50.0,300.0,1,0.40259050542272545,0ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_2.csv: 0.2610692960943308,50.0,300.0,2,0.2610692960943308,0ng/mL
