Lowest trough value in cleaned_40mV 200Hz_µA_6.csv: 0.18381150836301297
Lowest trough value in cleaned_40mV 200Hz_µA_7.csv: -0.05628234534220666
Lowest trough value in cleaned_40mV 200Hz_µA_8.csv: -0.013410721305168405
Lowest trough value in cleaned_40mV 20Hz_µA_1.csv: -0.8559135017750599
No troughs found in cleaned_40mV 20Hz_µA_2.csv
No troughs found in cleaned_40mV 20Hz_µA_3.csv
No troughs found in cleaned_40mV 20Hz_µA_4.csv
No troughs found in cleaned_40mV 20Hz_µA_5.csv
No troughs found in cleaned_40mV 20Hz_µA_6.csv
Lowest trough value in cleaned_40mV 20Hz_µA_7.csv: -0.6891981663661642
No troughs found in cleaned_40mV 20Hz_µA_8.csv
Lowest trough value in cleaned_40mV 300Hz_µA_1.csv: 0.34763594466537917
Lowest trough value in cleaned_40mV 300Hz_µA_2.csv: 0.20591614369951183
Lowest trough value in cleaned_40mV 300Hz_µA_3.csv: 0.18847941739198593
Lowest trough value in cleaned_40mV 300Hz_µA_4.csv: 0.11347181291097197
Lowest trough value in cleaned_40mV 300Hz_µA_5.csv: 0.0665229423561613
Lowest trough value in cleaned_40mV 300Hz_µA_6.csv: 0.25676001209791655
Lowest trough value in cleaned_40mV 300Hz_µA_7.csv: -0.06038942085553245
Lowest trough value in cleaned_40mV 300Hz_µA_8.csv: -0.0184784901475612
Lowest trough value in cleaned_40mV 40Hz_µA_1.csv: -1.1222475151209323
Lowest trough value in cleaned_40mV 40Hz_µA_2.csv: -0.02405370340367008
Lowest trough value in cleaned_40mV 40Hz_µA_3.csv: -0.014964067343160886
No troughs found in cleaned_40mV 40Hz_µA_4.csv
No troughs found in cleaned_40mV 40Hz_µA_5.csv
No troughs found in cleaned_40mV 40Hz_µA_6.csv
No troughs found in cleaned_40mV 40Hz_µA_7.csv
No troughs found in cleaned_40mV 40Hz_µA_8.csv
Lowest trough value in cleaned_40mV 60Hz_µA_1.csv: 0.0937348161665626
Lowest trough value in cleaned_40mV 60Hz_µA_2.csv: 0.06778640122178492
Lowest trough value in cleaned_40mV 60Hz_µA_3.csv: 0.059096706000804786
No troughs found in cleaned_40mV 60Hz_µA_4.csv
Lowest trough value in cleaned_40mV 60Hz_µA_5.csv: 0.015125524037051863
Lowest trough value in cleaned_40mV 60Hz_µA_6.csv: 0.043178250638207905
Lowest trough value in cleaned_40mV 60Hz_µA_7.csv: -0.010302548677354167
Lowest trough value in cleaned_40mV 60Hz_µA_8.csv: 0.015727583385020616
Lowest trough value in cleaned_40mV 80Hz_µA_1.csv: 0.1529618541538601
Lowest trough value in cleaned_40mV 80Hz_µA_2.csv: 0.07238871638682087
