V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7,V.8,µA.8
-0.37144660949707,-0.0422000885009766,-0.37144660949707,-0.136137008666992,-0.37144660949707,-0.0202655792236328,-0.37144660949707,-0.256180763244629,-0.37144660949707,-0.0312328338623047,-0.37144660949707,-0.0607967376708984,-0.37144660949707,-0.0379085540771484,-0.37144660949707,-0.0455379486083984,-0.37144660949707,-0.0029207013088453
-0.372462272644043,-0.0441074371337891,-0.372462272644043,-0.136613845825195,-0.372462272644043,-0.0202655792236328,-0.372462272644043,-0.256776809692383,-0.372462272644043,-0.0311136245727539,-0.372462272644043,-0.0612735748291016,-0.372462272644043,-0.0379085540771484,-0.372462272644043,-0.0441074371337891,-0.372462272644043,-0.0047739569806611
-0.37339973449707,-0.0436305999755859,-0.37339973449707,-0.137090682983398,-0.37339973449707,-0.0197887420654297,-0.37339973449707,-0.256776809692383,-0.37339973449707,-0.0312328338623047,-0.37339973449707,-0.0631809234619141,-0.37339973449707,-0.0388622283935547,-0.37339973449707,-0.0450611114501953,-0.37339973449707,-0.004247229967604
-0.374415397644043,-0.0450611114501953,-0.374415397644043,-0.137567520141602,-0.374415397644043,-0.0193119049072266,-0.374415397644043,-0.256776809692383,-0.374415397644043,-0.0307559967041016,-0.374415397644043,-0.0641345977783203,-0.374415397644043,-0.0386238098144531,-0.374415397644043,-0.0431537628173828,-0.374415397644043,-0.0056237312589184
-0.375431060791016,-0.0445842742919922,-0.375431060791016,-0.137567520141602,-0.375431060791016,-0.0202655792236328,-0.375431060791016,-0.25629997253418,-0.375431060791016,-0.0302791595458984,-0.375431060791016,-0.0646114349365234,-0.375431060791016,-0.0388622283935547,-0.375431060791016,-0.0436305999755859,-0.375431060791016,-0.0050923872989617
-0.376368522644043,-0.0460147857666016,-0.376368522644043,-0.137567520141602,-0.376368522644043,-0.0207424163818359,-0.376368522644043,-0.256776809692383,-0.376368522644043,-0.0307559967041016,-0.376368522644043,-0.0660419464111328,-0.376368522644043,-0.0388622283935547,-0.376368522644043,-0.0431537628173828,-0.376368522644043,-0.0064721303584833
-0.377384185791016,-0.0460147857666016,-0.377384185791016,-0.138044357299805,-0.377384185791016,-0.0207424163818359,-0.377384185791016,-0.257730484008789,-0.377384185791016,-0.0299215316772461,-0.377384185791016,-0.0669956207275391,-0.377384185791016,-0.0402927398681641,-0.377384185791016,-0.0426769256591797,-0.377384185791016,-0.0064177115254487
-0.378399848937988,-0.0469684600830078,-0.378399848937988,-0.138521194458008,-0.378399848937988,-0.0197887420654297,-0.378399848937988,-0.258207321166992,-0.378399848937988,-0.0293254852294922,-0.378399848937988,-0.0665187835693359,-0.378399848937988,-0.0407695770263672,-0.378399848937988,-0.0431537628173828,-0.378399848937988,-0.0073175515959979
-0.379337310791016,-0.0464916229248047,-0.379337310791016,-0.138044357299805,-0.379337310791016,-0.0212192535400391,-0.379337310791016,-0.258684158325195,-0.379337310791016,-0.0293254852294922,-0.379337310791016,-0.0684261322021484,-0.379337310791016,-0.0407695770263672,-0.379337310791016,-0.0426769256591797,-0.379337310791016,-0.0067910680123225
-0.380352973937988,-0.0474452972412109,-0.380352973937988,-0.139474868774414,-0.380352973937988,-0.0202655792236328,-0.380352973937988,-0.257253646850586,-0.380352973937988,-0.0298023223876953,-0.380352973937988,-0.0693798065185547,-0.380352973937988,-0.0407695770263672,-0.380352973937988,-0.0422000885009766,-0.380352973937988,-0.0076910009018939
